iter	Passed	Remaining
465	733	840
466	733	837
467	734	835
468	735	832
469	736	830
470	737	828
471	738	825
472	738	823
473	740	821
474	741	820
475	743	818
476	744	815
477	745	813
478	745	811
479	746	808
480	747	806
481	748	804
482	749	802
483	751	801
484	753	800
485	755	798
486	756	796
487	757	794
488	758	792
489	759	790
490	760	787
491	761	785
492	762	783
493	766	784
494	767	782
495	769	781
496	770	779
497	771	777
498	772	775
499	772	772
500	773	770
501	774	768
502	776	767
503	778	765
504	779	764
505	780	761
506	781	759
507	782	757
508	783	755
509	783	753
510	784	750
511	785	748
512	786	746
513	788	745
514	790	743
515	791	741
516	791	739
517	792	737
518	793	735
519	794	733
520	795	731
521	795	728
522	796	726
523	797	724
524	799	723
525	800	721
526	802	719
527	803	717
528	803	715
529	805	713
530	805	711
531	806	709
532	807	707
533	808	705
534	808	703
535	810	701
536	828	714
537	829	712
538	833	712
539	834	710
540	835	709
541	842	711
542	844	710
543	846	709
544	847	707
545	849	705
546	865	716
547	868	716
548	869	714
549	870	711
550	870	709
551	871	707
552	872	705
553	873	703
554	874	701
555	876	700
556	878	698
557	879	696
558	880	694
559	881	692
560	881	689
561	882	687
562	883	685
563	884	683
564	884	681
565	885	679
566	887	677
567	889	676
568	890	674
569	891	672
570	892	670
571	893	668
572	894	666
573	895	664
574	896	662
575	896	660
576	897	658
577	899	656
578	901	655
579	902	653
580	903	651
581	904	649
582	905	647
583	906	646
584	907	643
585	908	641
586	909	639
587	910	637
588	911	636
589	913	634
590	914	632
591	915	631
592	916	629
593	918	627
594	918	625
595	919	623
596	920	621
597	921	619
598	923	618
599	925	616
600	926	614
601	926	612
602	928	611
603	928	609
604	929	607
605	930	604
606	931	602
607	932	600
608	933	599
609	935	597
610	936	596
611	937	594
612	938	592
613	939	590
614	939	588
615	940	586
616	941	584
617	942	582
618	943	580
619	944	578
620	945	577
621	947	575
622	948	573
623	949	572
624	950	570
625	951	568
626	951	566
627	952	564
628	953	562
629	954	560
630	955	558
631	957	557
632	958	555
633	959	554
634	961	552
635	962	550
636	963	548
637	963	546
638	964	544
639	965	543
640	966	541
641	968	540
642	969	538
643	971	536
644	971	534
645	972	533
646	973	531
647	974	529
648	975	527
649	975	525
650	976	523
651	977	521
652	978	519
653	979	518
654	981	516
655	983	515
656	984	513
657	984	511
658	985	510
659	986	508
660	987	506
661	988	504
662	988	502
663	989	500
664	991	499
665	992	497
666	995	496
667	996	495
668	997	493
669	998	491
670	998	489
671	999	487
672	1000	486
673	1001	484
674	1003	483
675	1005	481
676	1006	480
677	1008	478
678	1009	477
679	1010	475
680	1010	473
681	1011	471
682	1012	469
683	1013	468
684	1014	466
685	1015	464
686	1017	463
687	1019	462
688	1022	461
689	1023	459
690	1024	458
691	1025	456
692	1026	454
693	1027	453
694	1029	451
695	1030	450
696	1031	448
697	1032	446
698	1032	444
699	1033	443
700	1034	441
701	1035	439
702	1036	437
703	1036	435
704	1038	434
705	1040	433
706	1042	431
707	1043	430
708	1043	428
709	1044	426
710	1045	424
711	1046	423
712	1047	421
713	1047	419
714	1048	418
715	1053	417
716	1054	416
717	1056	414
718	1056	413
719	1057	411
720	1058	409
721	1059	407
722	1060	406
723	1060	404
724	1061	402
725	1063	401
726	1065	399
727	1066	398
728	1067	396
729	1068	395
730	1069	393
731	1070	391
732	1071	390
733	1071	388
734	1072	386
735	1073	385
736	1075	383
737	1077	382
738	1078	380
739	1079	379
740	1080	377
741	1080	375
742	1081	374
743	1082	372
744	1083	370
745	1084	369
746	1084	367
747	1086	366
748	1088	364
749	1089	363
750	1090	361
751	1091	359
752	1092	358
753	1093	356
754	1093	354
755	1094	353
756	1096	351
757	1096	350
758	1098	348
759	1100	347
760	1101	345
761	1102	344
762	1103	342
763	1104	341
764	1105	339
765	1106	337
766	1107	336
767	1107	334
768	1109	333
769	1110	331
770	1111	330
771	1112	328
772	1114	327
773	1115	325
774	1115	323
775	1116	322
776	1117	320
777	1119	319
778	1124	318
779	1126	317
780	1128	316
781	1129	314
782	1130	313
783	1133	312
784	1135	311
785	1136	309
786	1138	308
787	1139	306
788	1140	305
789	1141	303
790	1142	301
791	1145	300
792	1147	299
793	1148	297
794	1149	296
795	1150	294
796	1151	293
797	1152	291
798	1153	290
799	1154	288
800	1156	287
801	1158	285
802	1159	284
803	1160	282
804	1161	281
805	1162	279
806	1163	278
807	1164	276
808	1166	275
809	1168	274
810	1170	272
811	1172	271
812	1173	269
813	1174	268
814	1175	266
815	1176	265
816	1177	263
817	1179	262
818	1181	261
819	1182	259
820	1183	258
821	1184	256
822	1185	254
823	1186	253
824	1187	251
825	1189	250
826	1191	249
827	1192	247
828	1193	246
829	1194	244
830	1195	243
831	1196	241
832	1197	240
833	1198	238
834	1201	237
835	1203	236
836	1204	234
837	1206	233
838	1207	231
839	1208	230
840	1209	228
841	1213	227
842	1215	226
843	1217	225
844	1218	223
845	1219	221
846	1220	220
847	1221	218
848	1225	218
849	1227	216
850	1228	215
851	1229	213
852	1230	212
853	1231	210
854	1232	209
855	1234	207
856	1237	206
857	1238	205
858	1239	203
859	1240	202
860	1241	200
861	1242	198
862	1243	197
863	1244	195
864	1246	194
865	1248	193
866	1249	191
867	1250	190
868	1251	188
869	1252	187
870	1253	185
871	1254	184
872	1256	182
873	1257	181
874	1259	179
875	1261	178
876	1262	177
877	1264	175
878	1265	174
879	1266	172
880	1267	171
881	1268	169
882	1270	168
883	1272	166
884	1273	165
885	1274	164
886	1275	162
887	1277	161
888	1278	159
889	1279	158
890	1281	156
891	1283	155
892	1284	153
893	1285	152
894	1286	150
895	1287	149
896	1288	147
897	1289	146
898	1290	144
899	1292	143
900	1293	142
901	1295	140
902	1296	139
903	1297	137
904	1298	136
905	1298	134
906	1299	133
907	1300	131
908	1302	130
909	1304	129
910	1305	127
911	1306	126
912	1308	124
913	1309	123
914	1310	121
915	1311	120
916	1312	118
917	1313	117
918	1314	115
919	1317	114
920	1318	113
921	1319	111
922	1320	110
923	1321	108
924	1321	107
925	1324	105
926	1326	104
927	1327	102
928	1328	101
929	1329	100
930	1330	98
931	1331	97
932	1332	95
933	1334	94
934	1335	92
935	1336	91
936	1337	89
937	1338	88
938	1339	87
939	1340	85
940	1341	84
941	1342	82
942	1343	81
943	1345	79
944	1347	78
945	1348	76
946	1349	75
947	1350	74
948	1351	72
949	1352	71
950	1353	69
951	1354	68
952	1357	66
953	1358	65
954	1359	64
955	1360	62
956	1361	61
957	1362	59
958	1363	58
959	1364	56
960	1370	55
961	1371	54
962	1373	52
963	1374	51
964	1375	49
965	1376	48
966	1377	47
967	1379	45
968	1381	44
969	1382	42
970	1383	41
971	1384	39
972	1385	38
973	1386	37
974	1387	35
975	1388	34
976	1392	32
977	1394	31
978	1395	29
979	1396	28
980	1397	27
981	1398	25
982	1399	24
983	1400	22
984	1402	21
985	1406	19
986	1409	18
987	1411	17
988	1412	15
989	1418	14
990	1419	12
991	1432	11
992	1433	10
993	1434	8
994	1435	7
995	1437	5
996	1440	4
997	1441	2
998	1443	1
999	1444	0
